Nanoparticle,BaseFluid,Temperature (°C),Particle Size (nm),Particle Volume Fraction (in %),TC(W/mK),Thermal Conductivity of Particle (kp),Thermal Conductivity of Liquid (km),kp/km ratio,Temp_Volume,Inverse_Particle_Size,Brownian_Feature
CuO,Water,20.0,50.0,0.0109,0.742,20.0,0.6,33.333333333333336,0.218,0.02,2.82842712474619
CuO,Water,70.0,50.0,0.0267,0.948,20.0,0.6,33.333333333333336,1.869,0.02,9.899494936611664
CuO,Water,30.0,25.0,0.0124,0.761,20.0,0.6,33.333333333333336,0.372,0.04,6.0
CuO,Water,50.0,25.0,0.0104,0.735,20.0,0.6,33.333333333333336,0.52,0.04,10.0
CuO,Water,60.0,25.0,0.0289,0.976,20.0,0.6,33.333333333333336,1.734,0.04,12.0
CuO,Transformer Oil,40.0,31.0,0.005,0.11772,20.0,0.6,60.0,0.2,0.032258064516129,7.184212081070997
CuO,Water,30.0,30.0,0.0076,0.699,20.0,0.6,33.333333333333336,0.228,0.0333333333333333,5.477225575051661
CuO,Water,30.0,20.0,0.0062,0.681,20.0,0.6,33.333333333333336,0.186,0.05,6.7082039324993685
CuO,Water,70.0,30.0,0.0125,0.763,20.0,0.6,33.333333333333336,0.875,0.0333333333333333,12.780193008453876
CuO,Water,30.0,20.0,0.0275,0.958,20.0,0.6,33.333333333333336,0.825,0.05,6.7082039324993685
CuO,Ethylene Glycol,30.0,31.0,0.005,0.270068,20.0,0.6,60.0,0.15,0.032258064516129,5.388159060803248
CuO,Water,50.0,25.0,0.0154,0.801,20.0,0.6,33.333333333333336,0.77,0.04,10.0
CuO,Water,30.0,25.0,0.0225,0.893,20.0,0.6,33.333333333333336,0.6749999999999999,0.04,6.0
CuO,Water,70.0,40.0,0.02,0.86,20.0,0.6,33.333333333333336,1.4,0.025,11.067971810589327
CuO,Water,20.0,25.0,0.0109,0.742,20.0,0.6,33.333333333333336,0.218,0.04,4.0
CuO,Water,20.0,31.0,0.02,0.640288,20.0,0.6,33.333333333333336,0.4,0.032258064516129,3.5921060405354983
CuO,Water,30.0,50.0,0.0028,0.636,20.0,0.6,33.333333333333336,0.084,0.02,4.242640687119285
CuO,Water,40.0,20.0,0.0154,0.801,20.0,0.6,33.333333333333336,0.616,0.05,8.94427190999916
CuO,Water,30.0,25.0,0.0059,0.677,20.0,0.6,33.333333333333336,0.177,0.04,6.0
CuO,Transformer Oil,50.0,31.0,0.01,0.1242,20.0,0.6,60.0,0.5,0.032258064516129,8.980265101338746
CuO,Water,20.0,31.0,0.01,0.634304,20.0,0.6,33.333333333333336,0.2,0.032258064516129,3.5921060405354983
CuO,Water,30.0,25.0,0.005,0.665,20.0,0.6,33.333333333333336,0.15,0.04,6.0
CuO,Water,70.0,25.0,0.0138,0.78,20.0,0.6,33.333333333333336,0.966,0.04,14.0
CuO,Water,70.0,20.0,0.0027,0.635,20.0,0.6,33.333333333333336,0.189,0.05,15.652475842498529
CuO,Ethylene Glycol,30.0,31.0,0.03,0.288998,20.0,0.6,60.0,0.8999999999999999,0.032258064516129,5.388159060803248
CeO2,Water,25.0,25.0,0.01,0.62,36.0,0.6,60.0,0.25,0.04,5.0
CeO2,Water,35.0,25.0,0.01,0.64,36.0,0.6,60.0,0.35,0.04,7.0
CeO2,Water,45.0,25.0,0.01,0.65,36.0,0.6,60.0,0.45,0.04,9.0
CeO2,Water,55.0,25.0,0.01,0.66,36.0,0.6,60.0,0.55,0.04,11.0
CeO2,Water,25.0,25.0,0.05,0.66,36.0,0.6,60.0,1.25,0.04,5.0
CeO2,Water,35.0,25.0,0.05,0.68,36.0,0.6,60.0,1.75,0.04,7.0
CeO2,Water,45.0,25.0,0.05,0.7,36.0,0.6,60.0,2.25,0.04,9.0
CeO2,Water,55.0,25.0,0.05,0.72,36.0,0.6,60.0,2.75,0.04,11.0
CeO2,Water,25.0,25.0,0.05,0.7,36.0,0.6,60.0,1.25,0.04,5.0
CeO2,Water,35.0,25.0,0.05,0.72,36.0,0.6,60.0,1.75,0.04,7.0
CeO2,Water,45.0,25.0,0.05,0.74,36.0,0.6,60.0,2.25,0.04,9.0
CeO2,Water,55.0,25.0,0.05,0.77,36.0,0.6,60.0,2.75,0.04,11.0
CeO2,Water,25.0,25.0,0.05,0.75,36.0,0.6,60.0,1.25,0.04,5.0
CeO2,Water,35.0,25.0,0.05,0.78,36.0,0.6,60.0,1.75,0.04,7.0
CeO2,Water,45.0,25.0,0.05,0.8,36.0,0.6,60.0,2.25,0.04,9.0
CeO2,Water,55.0,25.0,0.05,0.83,36.0,0.6,60.0,2.75,0.04,11.0
CeO2,Water,25.0,25.0,0.05,0.8,36.0,0.6,60.0,1.25,0.04,5.0
CeO2,Water,35.0,25.0,0.05,0.83,36.0,0.6,60.0,1.75,0.04,7.0
CeO2,Water,45.0,25.0,0.05,0.85,36.0,0.6,60.0,2.25,0.04,9.0
CeO2,Water,55.0,25.0,0.05,0.88,36.0,0.6,60.0,2.75,0.04,11.0
CeO2,Water,44.28545299152913,24.49772482549212,0.05,0.7,36.0,0.6,60.0,2.2142726495764564,0.0408201172608245,8.947428063021777
CeO2,Water,54.73829493232177,24.50724478880592,0.05,0.88,36.0,0.6,60.0,2.7369147466160886,0.0408042604796099,11.057170868870973
CeO2,Water,45.82912982733611,24.1638930041204,0.05,0.8,36.0,0.6,60.0,2.2914564913668056,0.0413840600862402,9.323053130798105
CeO2,Water,44.97266806589391,23.115213640983725,0.05,0.74,36.0,0.6,60.0,2.248633403294696,0.0432615512679917,9.354050227970092
CeO2,Water,54.343804045111554,25.22931412843465,0.05,0.72,36.0,0.6,60.0,2.717190202255578,0.0396364322434335,10.819253920505682
CeO2,Water,44.267107114272775,26.71266771283857,0.05,0.7,36.0,0.6,60.0,2.213355355713639,0.0374354224276665,8.564904217166683
CeO2,Water,44.93042179107877,24.937335476467435,0.05,0.85,36.0,0.6,60.0,2.2465210895539385,0.0401005151871044,8.997367748595204
CeO2,Water,45.8899875622171,23.149368358305143,0.05,0.74,36.0,0.6,60.0,2.294499378110855,0.0431977229150287,9.537803421796784
CeO2,Water,46.59101930577512,25.78034281161645,0.05,0.74,36.0,0.6,60.0,2.3295509652887563,0.0387892437004137,9.176094297375998
CeO2,Water,54.79423140197033,23.37520200989701,0.0103440637597755,0.66,36.0,0.6,60.0,0.566795023289874,0.0427803789493071,11.333320044345934
CeO2,Water,54.955256819237405,23.79096560301081,0.05,0.72,36.0,0.6,60.0,2.74776284096187,0.042032762212621,11.266868025242026
CeO2,Water,43.786058293842615,24.761661827686428,0.0101600202553712,0.65,36.0,0.6,60.0,0.4448672391683051,0.0403850115940878,8.799256078881148
CeO2,Water,36.93919256909947,25.1228434385402,0.0097111938903676,0.64,36.0,0.6,60.0,0.358723661192151,0.0398044115685539,7.369754183109257
CeO2,Water,53.59899716184392,23.99133599883317,0.05,0.77,36.0,0.6,60.0,2.679949858092196,0.0416817137673631,10.942824839391848
CeO2,Water,36.17166231178055,24.72268394343402,0.05,0.68,36.0,0.6,60.0,1.808583115589028,0.0404486827679397,7.274793319623369
CeO2,Water,34.63466404698753,25.715162400760686,0.0103115132964295,0.64,36.0,0.6,60.0,0.3571357988378807,0.0388875630810878,6.829931432087837
CeO2,Water,24.40063350615968,25.85217888480802,0.0096735041538912,0.62,36.0,0.6,60.0,0.2360396295794124,0.038681459093092,4.799019623046592
CeO2,Water,53.88999642811408,26.251456421814265,0.05,0.77,36.0,0.6,60.0,2.6944998214057043,0.0380931245844716,10.517958510569157
CeO2,Water,57.41004864940713,26.909418652293493,0.05,0.77,36.0,0.6,60.0,2.8705024324703565,0.0371617095456935,11.067149004332888
CeO2,Water,25.2214916232784,25.80988932166112,0.05,0.8,36.0,0.6,60.0,1.26107458116392,0.0387448387529792,4.964524936713979
CeO2,Water,35.02128043710406,24.78326348559576,0.05,0.72,36.0,0.6,60.0,1.7510640218552032,0.0403498110965575,7.034816499325448
CeO2,Water,55.88673235955454,25.85931379112297,0.05,0.83,36.0,0.6,60.0,2.794336617977727,0.0386707863974055,10.990063949481
CeO2,Water,44.34916727437004,25.466716234005183,0.05,0.8,36.0,0.6,60.0,2.217458363718502,0.039266939279149,8.788181042563723
CeO2,Water,45.001845955231005,25.50636697752625,0.05,0.8,36.0,0.6,60.0,2.2500922977615505,0.0392058971346685,8.910581088856159
CeO2,Water,45.05633628681212,25.177218785071684,0.05,0.85,36.0,0.6,60.0,2.252816814340606,0.0397184458115337,8.979496751143765
CeO2,Water,54.48785426765187,24.08794589784609,0.05,0.77,36.0,0.6,60.0,2.724392713382594,0.0415145402700949,11.101964190696416
CeO2,Water,56.19963807918592,23.97190359217807,0.05,0.88,36.0,0.6,60.0,2.809981903959296,0.0417155023235741,11.478423854427554
CeO2,Water,44.781345588504095,24.902881798924856,0.0101454636044596,0.65,36.0,0.6,60.0,0.4543275118268958,0.0401559951203387,8.973716302265432
CeO2,Water,23.44686794663117,25.148910075846374,0.0495052899693952,0.66,36.0,0.6,60.0,1.1607439965720938,0.039763154625155,4.67546977160646
CeO2,Water,44.69850263647913,24.320559077068285,0.05,0.85,36.0,0.6,60.0,2.234925131823956,0.0411174758290361,9.06371409574239
CeO2,Water,45.2491786717139,25.423341948608574,0.05,0.7,36.0,0.6,60.0,2.262458933585695,0.0393339318655048,8.974171838809703
CeO2,Water,24.1065067661124,27.08076590403919,0.05,0.7,36.0,0.6,60.0,1.2053253383056202,0.0369265774662173,4.632376081560229
CeO2,Water,44.18540520682957,23.255669280721744,0.05,0.7,36.0,0.6,60.0,2.2092702603414787,0.0430002675016096,9.162509137147993
CeO2,Water,34.45374096187396,25.58224447756376,0.05,0.83,36.0,0.6,60.0,1.7226870480936982,0.0390896115810723,6.811881144862773
CeO2,Water,56.22123566006696,24.93402537910919,0.0102595595824003,0.66,36.0,0.6,60.0,0.5768051170506254,0.04010583870015,11.259113260944003
CeO2,Water,34.51284197735429,25.450655555334656,0.05,0.78,36.0,0.6,60.0,1.7256420988677146,0.0392917187467256,6.84118344806956
CeO2,Water,36.42911701855103,24.569285299539708,0.05,0.83,36.0,0.6,60.0,1.821455850927552,0.0407012246310125,7.349408428628488
CeO2,Water,24.385049561851663,24.853940114952835,0.05,0.7,36.0,0.6,60.0,1.2192524780925833,0.0402350691831904,4.891319354193194
CeO2,Water,35.32501413625654,25.1295004510081,0.0101906338084943,0.64,36.0,0.6,60.0,0.359984283342475,0.0397938670507826,7.046775190327831
CeO2,Water,54.553757325780246,24.69836611646474,0.05,0.88,36.0,0.6,60.0,2.7276878662890125,0.0404885082391489,10.97717418014206
CeO2,Water,45.75408317029047,23.479458682630103,0.05,0.8,36.0,0.6,60.0,2.2877041585145235,0.0425904197160981,9.442474426086074
CeO2,Water,43.88172584543472,24.766084969355543,0.0495339249369755,0.7,36.0,0.6,60.0,2.1736341141327014,0.040377798963274,8.817693940352953
CeO2,Water,55.742859479577234,23.583566371803805,0.05,0.77,36.0,0.6,60.0,2.787142973978862,0.0424024078561581,11.478483196311029
CeO2,Water,55.11386940030968,25.65319311058031,0.05,0.72,36.0,0.6,60.0,2.7556934700154843,0.0389815020566606,10.8815356082578
CeO2,Water,44.36000818322256,23.13445489892188,0.05,0.8,36.0,0.6,60.0,2.218000409161128,0.0432255700153368,9.222782824293812
CeO2,Water,44.83377851528985,26.02865437945589,0.0102771911375753,0.65,36.0,0.6,60.0,0.4607653112213507,0.0384191969904248,8.787786227207755
GO,Water,30.0,50.0,0.05,0.66,500.0,0.6,833.3333333333334,1.5,0.02,4.242640687119285
GO,Water,40.0,50.0,0.05,0.67,500.0,0.6,833.3333333333334,2.0,0.02,5.65685424949238
GO,Water,50.0,50.0,0.05,0.68,500.0,0.6,833.3333333333334,2.5,0.02,7.071067811865475
GO,Water,60.0,50.0,0.05,0.69,500.0,0.6,833.3333333333334,3.0,0.02,8.48528137423857
GO,Water,30.0,50.0,0.05,0.69,500.0,0.6,833.3333333333334,1.5,0.02,4.242640687119285
GO,Water,40.0,50.0,0.05,0.71,500.0,0.6,833.3333333333334,2.0,0.02,5.65685424949238
GO,Water,50.0,50.0,0.05,0.73,500.0,0.6,833.3333333333334,2.5,0.02,7.071067811865475
GO,Water,60.0,50.0,0.05,0.75,500.0,0.6,833.3333333333334,3.0,0.02,8.48528137423857
GO,Water,30.0,50.0,0.05,0.73,500.0,0.6,833.3333333333334,1.5,0.02,4.242640687119285
GO,Water,40.0,50.0,0.05,0.75,500.0,0.6,833.3333333333334,2.0,0.02,5.65685424949238
GO,Water,50.0,50.0,0.05,0.78,500.0,0.6,833.3333333333334,2.5,0.02,7.071067811865475
GO,Water,60.0,50.0,0.05,0.8,500.0,0.6,833.3333333333334,3.0,0.02,8.48528137423857
GO,Water,30.0,50.0,0.05,0.78,500.0,0.6,833.3333333333334,1.5,0.02,4.242640687119285
GO,Water,40.0,50.0,0.05,0.81,500.0,0.6,833.3333333333334,2.0,0.02,5.65685424949238
GO,Water,50.0,50.0,0.05,0.84,500.0,0.6,833.3333333333334,2.5,0.02,7.071067811865475
GO,Water,60.0,50.0,0.05,0.87,500.0,0.6,833.3333333333334,3.0,0.02,8.48528137423857
GO,Water,30.0,50.0,0.05,0.84,500.0,0.6,833.3333333333334,1.5,0.02,4.242640687119285
GO,Water,40.0,50.0,0.05,0.88,500.0,0.6,833.3333333333334,2.0,0.02,5.65685424949238
GO,Water,50.0,50.0,0.05,0.91,500.0,0.6,833.3333333333334,2.5,0.02,7.071067811865475
GO,Water,60.0,50.0,0.05,0.91,500.0,0.6,833.3333333333334,3.0,0.02,8.48528137423857
GO,Water,50.42956300020348,50.07343451924112,0.05,0.73,500.0,0.6,833.3333333333334,2.521478150010174,0.0199706692700645,7.126585740108785
GO,Water,60.4333886157339,49.6636213368896,0.05,0.91,500.0,0.6,833.3333333333334,3.021669430786695,0.0201354628011632,8.575466499467776
GO,Water,47.83569013215216,51.282363474115606,0.05,0.84,500.0,0.6,833.3333333333334,2.391784506607608,0.0194998812896902,6.679870264003915
GO,Water,49.67140056190844,51.08773984323375,0.05,0.78,500.0,0.6,833.3333333333334,2.4835700280954223,0.0195741679524004,6.949412017823531
GO,Water,61.15356342865986,50.44350172058452,0.05,0.75,500.0,0.6,833.3333333333334,3.0576781714329933,0.0198241590272455,8.61031727984532
GO,Water,49.48139202096971,48.84813161541322,0.05,0.73,500.0,0.6,833.3333333333334,2.4740696010484857,0.0204716120541336,7.079750131651781
GO,Water,48.92193785003629,49.28497813196976,0.05,0.91,500.0,0.6,833.3333333333334,2.4460968925018145,0.0202901581354528,6.968613332318156
GO,Water,49.36332990499429,48.97142347449388,0.05,0.78,500.0,0.6,833.3333333333334,2.4681664952497147,0.0204200721369848,7.053961487536824
GO,Water,49.93172237736066,47.75185711320783,0.05,0.78,500.0,0.6,833.3333333333334,2.496586118868033,0.0209415939076305,7.225724750547633
GO,Water,59.14862954968719,51.26131810185005,0.05,0.69,500.0,0.6,833.3333333333334,2.95743147748436,0.0195078869804541,8.261326796625069
GO,Water,61.233817232089294,49.6721764736573,0.05,0.75,500.0,0.6,833.3333333333334,3.0616908616044647,0.0201319948307546,8.688298606917732
GO,Water,49.935332470009605,49.6615060357077,0.05,0.68,500.0,0.6,833.3333333333334,2.4967666235004806,0.0201363204587669,7.085948683420368
GO,Water,39.44443065205207,51.49610223342556,0.05,0.67,500.0,0.6,833.3333333333334,1.972221532602604,0.0194189454469218,5.496655423579884
GO,Water,58.69865647316442,49.524011397613634,0.05,0.8,500.0,0.6,833.3333333333334,2.934932823658221,0.0201922253827804,8.34104095391646
GO,Water,40.48444660527894,49.15952906431407,0.05,0.71,500.0,0.6,833.3333333333334,2.024222330263948,0.0203419361217176,5.77410065425024
GO,Water,40.46166629471136,49.77525437948501,0.05,0.67,500.0,0.6,833.3333333333334,2.023083314735568,0.0200903041574841,5.735047507804521
GO,Water,29.20779109381531,48.867330948123104,0.05,0.66,500.0,0.6,833.3333333333334,1.4603895546907657,0.0204635690265463,4.178201725429692
GO,Water,57.763670971685855,50.34435576928796,0.05,0.8,500.0,0.6,833.3333333333334,2.888183548584293,0.0198631998506978,8.14103068425292
GO,Water,60.41076218957589,49.62633792173583,0.05,0.8,500.0,0.6,833.3333333333334,3.020538109478794,0.0201505902284603,8.575475311026592
GO,Water,29.813196608739,49.49272858940619,0.05,0.84,500.0,0.6,833.3333333333334,1.49065983043695,0.0202049882578922,4.237774519225175
GO,Water,40.33607116792567,49.406096827979695,0.05,0.75,500.0,0.6,833.3333333333334,2.016803558396284,0.0202404169566716,5.73856522191385
GO,Water,61.95717453363964,49.89377850615799,0.05,0.87,500.0,0.6,833.3333333333334,3.097858726681982,0.0200425790537507,8.771389706000692
GO,Water,49.97316815629094,50.08348112551985,0.05,0.84,500.0,0.6,833.3333333333334,2.498658407814548,0.0199666632096476,7.061380754527534
GO,Water,49.48616138315723,49.48002491159248,0.05,0.84,500.0,0.6,833.3333333333334,2.474308069157862,0.0202101757585355,7.0350763048997615
GO,Water,48.85267803235166,49.64123406390485,0.05,0.91,500.0,0.6,833.3333333333334,2.442633901617583,0.0201445435202651,6.933732637853662
GO,Water,59.68757820850495,49.91847717318065,0.05,0.8,500.0,0.6,833.3333333333334,2.984378910425248,0.0200326623853273,8.447988109028305
GO,Water,60.16057734961564,49.81758186446047,0.05,0.91,500.0,0.6,833.3333333333334,3.0080288674807822,0.0200732344400159,8.523553155126605
GO,Water,50.05330742059876,50.031075966875015,0.05,0.68,500.0,0.6,833.3333333333334,2.5026653710299382,0.019987577334177,7.076407898993208
GO,Water,31.723465340067104,49.32332919675199,0.05,0.69,500.0,0.6,833.3333333333334,1.5861732670033553,0.020274381642224,4.517045138301754
GO,Water,50.49908556546594,51.004592909126494,0.05,0.91,500.0,0.6,833.3333333333334,2.524954278273297,0.0196060774719185,7.070967989833395
GO,Water,49.86519912849279,50.09682817740952,0.05,0.73,500.0,0.6,833.3333333333334,2.49325995642464,0.0199613435896314,7.045185664402872
GO,Water,29.29343942116653,49.49615324717512,0.05,0.73,500.0,0.6,833.3333333333334,1.4646719710583265,0.0202035902670289,4.163749969591558
GO,Water,50.26667276378332,50.34438421737853,0.05,0.73,500.0,0.6,833.3333333333334,2.513333638189166,0.0198631886266037,7.084425260059918
GO,Water,39.09299184161734,49.925631401181285,0.05,0.88,500.0,0.6,833.3333333333334,1.954649592080867,0.0200297917509429,5.532700048239227
GO,Water,60.17983107953791,48.26617364551633,0.05,0.69,500.0,0.6,833.3333333333334,3.008991553976896,0.0207184436732928,8.662226368154846
GO,Water,40.48741392690484,50.34095269022163,0.05,0.81,500.0,0.6,833.3333333333334,2.024370696345242,0.0198645426151071,5.706362048428289
GO,Water,39.78354777722856,48.98049379761581,0.05,0.88,500.0,0.6,833.3333333333334,1.989177388861428,0.0204162906999658,5.684495539174123
GO,Water,29.36971355593485,50.93442778323131,0.05,0.73,500.0,0.6,833.3333333333334,1.4684856777967426,0.0196330859797981,4.115228883588942
GO,Water,37.814703152665096,49.75825036110656,0.05,0.67,500.0,0.6,833.3333333333334,1.890735157633255,0.020097169670211,5.360781979602589
GO,Water,61.14383672642039,50.78007029739106,0.05,0.91,500.0,0.6,833.3333333333334,3.0571918363210195,0.0196927651762502,8.580370439295159
GO,Water,50.403300390245285,49.36978144680239,0.05,0.84,500.0,0.6,833.3333333333334,2.520165019512264,0.0202553053850873,7.173454904659016
GO,Water,50.42761728158478,50.06992926714064,0.05,0.73,500.0,0.6,833.3333333333334,2.521380864079239,0.0199720673593255,7.12656021770815
GO,Water,58.4386476642227,51.21024350050688,0.05,0.8,500.0,0.6,833.3333333333334,2.9219323832111352,0.0195273431962904,8.16623243159972
GO,Water,61.379838699740056,49.730983453585175,0.05,0.75,500.0,0.6,833.3333333333334,3.068991934987003,0.0201081887096264,8.703866455398106
GO,Water,49.53478313338192,49.4091829012642,0.05,0.84,500.0,0.6,833.3333333333334,2.476739156669096,0.0202391527501745,7.047035025214539
GO,Water,49.71120469730052,50.655040613781786,0.05,0.68,500.0,0.6,833.3333333333334,2.4855602348650265,0.0197413719914761,6.984622746644831
GO-Al2O3,Water,20.0,40.0,0.025,0.59,200.0,0.6,333.33333333333337,0.5,0.025,3.162277660168379
GO-Al2O3,Water,20.0,40.0,0.025,0.6,200.0,0.6,333.33333333333337,0.5,0.025,3.162277660168379
GO-Al2O3,Water,40.0,40.0,0.025,0.61,200.0,0.6,333.33333333333337,1.0,0.025,6.324555320336758
GO-Al2O3,Water,60.0,40.0,0.025,0.62,200.0,0.6,333.33333333333337,1.5,0.025,9.486832980505138
GO-Al2O3,Water,20.0,40.0,0.05,0.6,200.0,0.6,333.33333333333337,1.0,0.025,3.162277660168379
GO-Al2O3,Water,20.0,40.0,0.05,0.61,200.0,0.6,333.33333333333337,1.0,0.025,3.162277660168379
GO-Al2O3,Water,40.0,40.0,0.05,0.62,200.0,0.6,333.33333333333337,2.0,0.025,6.324555320336758
GO-Al2O3,Water,60.0,40.0,0.05,0.63,200.0,0.6,333.33333333333337,3.0,0.025,9.486832980505138
GO-Al2O3,Water,20.0,40.0,0.05,0.63,200.0,0.6,333.33333333333337,1.0,0.025,3.162277660168379
GO-Al2O3,Water,40.0,40.0,0.05,0.64,200.0,0.6,333.33333333333337,2.0,0.025,6.324555320336758
GO-Al2O3,Water,60.0,40.0,0.05,0.65,200.0,0.6,333.33333333333337,3.0,0.025,9.486832980505138
GO-Al2O3,Water,20.0,40.0,0.05,0.64,200.0,0.6,333.33333333333337,1.0,0.025,3.162277660168379
GO-Al2O3,Water,20.0,40.0,0.05,0.66,200.0,0.6,333.33333333333337,1.0,0.025,3.162277660168379
GO-Al2O3,Water,40.0,40.0,0.05,0.68,200.0,0.6,333.33333333333337,2.0,0.025,6.324555320336758
GO-Al2O3,Water,60.0,40.0,0.05,0.69,200.0,0.6,333.33333333333337,3.0,0.025,9.486832980505138
GO-Al2O3,Water,25.0,37.0,0.05,0.611,200.0,0.6,333.33333333333337,1.25,0.027027027027027,4.109974682633933
GO-Al2O3,Water,25.0,37.0,0.05,0.626,200.0,0.6,333.33333333333337,1.25,0.027027027027027,4.109974682633933
GO-Al2O3,Water,25.0,37.0,0.05,0.642,200.0,0.6,333.33333333333337,1.25,0.027027027027027,4.109974682633933
GO-Al2O3,Water,25.0,37.0,0.05,0.667,200.0,0.6,333.33333333333337,1.25,0.027027027027027,4.109974682633933
GO-Al2O3,Water,25.0,37.0,0.05,0.694,200.0,0.6,333.33333333333337,1.25,0.027027027027027,4.109974682633933
GO-Al2O3,Water,30.0,37.0,0.05,0.617,200.0,0.6,333.33333333333337,1.5,0.027027027027027,4.931969619160719
GO-Al2O3,Water,30.0,37.0,0.05,0.637,200.0,0.6,333.33333333333337,1.5,0.027027027027027,4.931969619160719
GO-Al2O3,Water,30.0,37.0,0.05,0.661,200.0,0.6,333.33333333333337,1.5,0.027027027027027,4.931969619160719
GO-Al2O3,Water,30.0,37.0,0.05,0.686,200.0,0.6,333.33333333333337,1.5,0.027027027027027,4.931969619160719
GO-Al2O3,Water,30.0,37.0,0.05,0.722,200.0,0.6,333.33333333333337,1.5,0.027027027027027,4.931969619160719
GO-Al2O3,Water,35.0,37.0,0.05,0.62,200.0,0.6,333.33333333333337,1.75,0.027027027027027,5.753964555687506
GO-Al2O3,Water,35.0,37.0,0.05,0.647,200.0,0.6,333.33333333333337,1.75,0.027027027027027,5.753964555687506
GO-Al2O3,Water,35.0,37.0,0.05,0.67,200.0,0.6,333.33333333333337,1.75,0.027027027027027,5.753964555687506
GO-Al2O3,Water,35.0,37.0,0.05,0.708,200.0,0.6,333.33333333333337,1.75,0.027027027027027,5.753964555687506
GO-Al2O3,Water,35.0,37.0,0.05,0.736,200.0,0.6,333.33333333333337,1.75,0.027027027027027,5.753964555687506
GO-Al2O3,Water,40.0,37.0,0.05,0.626,200.0,0.6,333.33333333333337,2.0,0.027027027027027,6.575959492214292
GO-Al2O3,Water,40.0,37.0,0.05,0.654,200.0,0.6,333.33333333333337,2.0,0.027027027027027,6.575959492214292
GO-Al2O3,Water,40.0,37.0,0.05,0.683,200.0,0.6,333.33333333333337,2.0,0.027027027027027,6.575959492214292
GO-Al2O3,Water,40.0,37.0,0.05,0.714,200.0,0.6,333.33333333333337,2.0,0.027027027027027,6.575959492214292
GO-Al2O3,Water,40.0,37.0,0.05,0.75,200.0,0.6,333.33333333333337,2.0,0.027027027027027,6.575959492214292
GO-Al2O3,Water,45.0,37.0,0.05,0.627,200.0,0.6,333.33333333333337,2.25,0.027027027027027,7.397954428741079
GO-Al2O3,Water,45.0,37.0,0.05,0.663,200.0,0.6,333.33333333333337,2.25,0.027027027027027,7.397954428741079
GO-Al2O3,Water,45.0,37.0,0.05,0.69,200.0,0.6,333.33333333333337,2.25,0.027027027027027,7.397954428741079
GO-Al2O3,Water,45.0,37.0,0.05,0.735,200.0,0.6,333.33333333333337,2.25,0.027027027027027,7.397954428741079
GO-Al2O3,Water,45.0,37.0,0.05,0.779,200.0,0.6,333.33333333333337,2.25,0.027027027027027,7.397954428741079
GO-Al2O3,Water,50.0,37.0,0.05,0.635,200.0,0.6,333.33333333333337,2.5,0.027027027027027,8.219949365267865
GO-Al2O3,Water,50.0,37.0,0.05,0.673,200.0,0.6,333.33333333333337,2.5,0.027027027027027,8.219949365267865
GO-Al2O3,Water,50.0,37.0,0.05,0.711,200.0,0.6,333.33333333333337,2.5,0.027027027027027,8.219949365267865
GO-Al2O3,Water,50.0,37.0,0.05,0.757,200.0,0.6,333.33333333333337,2.5,0.027027027027027,8.219949365267865
GO-Al2O3,Water,50.0,37.0,0.05,0.803,200.0,0.6,333.33333333333337,2.5,0.027027027027027,8.219949365267865
GO-Al2O3,Water,45.63566159675096,38.40142900226608,0.05,0.69,200.0,0.6,333.33333333333337,2.281783079837548,0.0260406975985448,7.364286198695749
GO-Al2O3,Water,34.451250866585184,35.85832817826061,0.05,0.67,200.0,0.6,333.33333333333337,1.7225625433292593,0.0278875243438219,5.753206682523065
GO-Al2O3,Water,38.01453897958224,39.62329957009644,0.05,0.68,200.0,0.6,333.33333333333337,1.900726948979112,0.025237676085782,6.039130424739454
GO-Al2O3,Water,49.38997702250165,36.79368519638067,0.05,0.673,200.0,0.6,333.33333333333337,2.4694988511250826,0.0271785768308516,8.142395246560715
GO-Al2O3,Water,60.67735952168642,40.605223701018254,0.05,0.63,200.0,0.6,333.33333333333337,3.033867976084321,0.0246273732503762,9.522165374752818
GO-Al2O3,Water,24.22496581057628,38.11543329738114,0.05,0.694,200.0,0.6,333.33333333333337,1.211248290528814,0.0262360916166918,3.923853119491864
GO-Al2O3,Water,44.98906216298381,38.05279155690271,0.05,0.69,200.0,0.6,333.33333333333337,2.2494531081491904,0.0262792809432821,7.293125365015621
GO-Al2O3,Water,24.34251506203365,37.22374831957431,0.05,0.642,200.0,0.6,333.33333333333337,1.2171257531016826,0.026864570204343,3.989839226524489
GO-Al2O3,Water,28.06783283747395,36.71973089553644,0.05,0.637,200.0,0.6,333.33333333333337,1.4033916418736976,0.0272333150492003,4.631899592709235
GO-Al2O3,Water,39.32451882296007,38.17401575837237,0.05,0.64,200.0,0.6,333.33333333333337,1.966225941148004,0.026195829286854,6.364722789584434
GO-Al2O3,Water,40.673132020689714,38.68585414554478,0.05,0.64,200.0,0.6,333.33333333333337,2.033656601034486,0.0258492418504649,6.539303909275893
GO-Al2O3,Water,27.629747519934188,38.76665548929144,0.05,0.661,200.0,0.6,333.33333333333337,1.3814873759967097,0.025795364273202,4.437595872912632
GO-Al2O3,Water,40.25216735047557,35.16392801249746,0.05,0.75,200.0,0.6,333.33333333333337,2.0126083675237783,0.0284382336252251,6.787980381777452
